忾,4 2 3 ,4 2 3 ,4 0 1 2 ,1 0 3 1 ,0.3984375 0.3125 0.2890625 0.640625 
庙,1 4 4 ,1 4 4 ,1 0 2 2 ,1 0 2 2 ,0.23046875 0.35546875 0.375 0.39453125 
蜜,6 1 1 ,6 1 1 ,4 3 1 1 ,2 4 3 4 ,0.3515625 0.34765625 0.40625 0.53125 
岃,1 2 3 ,1 2 3 ,1 1 2 1 ,2 1 2 1 ,0.3046875 0.40625 0.375 0.46484375 
忔,3 3 3 ,3 3 3 ,3 1 2 2 ,1 0 3 2 ,0.359375 0.375 0.375 0.421875 
蕇,2 1 1 ,2 1 1 ,1 1 1 1 ,4 4 4 4 ,0.27734375 0.328125 0.296875 0.33203125 
粠,4 3 4 ,4 3 4 ,4 1 2 2 ,1 1 1 2 ,0.46484375 0.4140625 0.4296875 0.375 
镝,3 4 5 ,3 4 5 ,2 2 2 3 ,2 2 3 4 ,0.42578125 0.3671875 0.36328125 0.5625 
络,5 3 2 ,5 3 2 ,3 2 1 1 ,1 2 3 3 ,0.296875 0.31640625 0.3125 0.4921875 
徜,4 4 4 ,4 4 4 ,1 3 2 2 ,2 0 2 3 ,0.32421875 0.25 0.28125 0.44921875 
襘,3 7 3 ,3 7 3 ,2 1 2 1 ,1 1 4 5 ,0.328125 0.3125 0.3125 0.47265625 
譎,1 1 6 ,1 1 6 ,0 1 3 3 ,3 3 3 5 ,0.453125 0.41015625 0.38671875 0.64453125 
袦,4 4 4 ,4 4 4 ,2 3 2 2 ,1 1 1 1 ,0.375 0.25 0.234375 0.51953125 
悸,3 3 2 ,3 3 2 ,3 1 2 1 ,1 0 3 2 ,0.34375 0.3125 0.265625 0.0625 
掅,2 2 3 ,2 2 3 ,2 1 2 1 ,2 1 4 4 ,0.453125 0.47265625 0.3046875 0.57421875 
壑,4 3 1 ,4 3 1 ,1 3 1 1 ,3 4 2 3 ,0.203125 0.33203125 0.359375 0.359375 
爌,5 3 6 ,5 3 6 ,5 1 4 3 ,1 1 3 4 ,0.3671875 0.2734375 0.3671875 0.46484375 
玵,2 3 3 ,2 3 3 ,2 1 2 2 ,2 1 1 2 ,0.453125 0.35546875 0.44140625 0.38671875 
袅,3 2 3 ,3 2 3 ,2 2 1 2 ,2 2 4 3 ,0.2265625 0.3046875 0.26953125 0.44140625 
鬂,2 1 2 ,2 1 2 ,1 2 1 1 ,5 4 3 4 ,0.50390625 0.45703125 0.37890625 0.421875 
靁,3 1 2 ,3 1 2 ,2 2 1 1 ,6 3 6 3 ,0.55078125 0.7109375 0.515625 0.6875 
鴵,5 3 7 ,5 3 7 ,4 1 3 5 ,0 1 4 4 ,0.32421875 0.29296875 0.33984375 0.54296875 
戕,4 3 4 ,4 3 4 ,2 2 2 2 ,1 1 2 2 ,0.203125 0.30078125 0.21484375 0.5546875 
齾,2 4 6 ,2 4 6 ,1 1 3 3 ,6 3 1 5 ,0.30859375 0.43359375 0.55859375 0.42578125 
宪,4 2 3 ,4 2 3 ,3 2 1 2 ,3 2 2 2 ,0.33984375 0.3515625 0.3359375 0.46484375 
